,v1,v2
4294,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
810,ham,S:)s.nervous  &lt;#&gt; :)
2472,spam,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16"
4177,ham,Two teams waiting for some players
390,ham,Huh so late... Fr dinner?
2608,ham,Hello madam how are you ?
2495,spam,WINNER! As a valued network customer you hvae been selected to receive a å£900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
333,ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
2453,ham,How much she payed. Suganya.
2398,ham,YO YO YO BYATCH WHASSUP?
4763,ham,Hi.:)technical support.providing assistance to us customer through call and email:)
3469,ham,aathi..where are you dear..
5468,spam,"URGENT! Last weekend's draw shows that you have won å£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm"
5170,ham,I'm in school now n i'll be in da lab doing some stuff give me a call when Ì_ r done.
666,ham,Carlos'll be here in a minute if you still need to buy
1654,ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
4853,ham,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
3291,ham,Dear good morning how you feeling dear
4977,ham,JADE ITS PAUL. Y DIDNåÕT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME
1655,ham,At 7 we will go ok na.
777,ham,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\"""""
282,ham,Ok. I asked for money how far
2970,ham,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
4052,ham,I was slept that time.you there?
1140,ham,Oh:)as usual vijay film or its different?
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
389,ham,Yup having my lunch buffet now.. U eat already?
2745,ham,R Ì_ going 4 today's meeting?
1309,ham,"Ok, be careful ! Don't text and drive !"
5113,ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
4832,spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY å£1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION."
5065,ham,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
4205,ham,"Get the door, I'm here"
4931,ham,Match started.india  &lt;#&gt;  for 2
4282,ham,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend."
2640,ham,Pandy joined 4w technologies today.he got job..
4287,ham,Hey mr whats the name of that bill brison book the one about language and words 
5150,ham,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)"
1004,ham,Umma. Did she say anything
2000,ham,But i'll b going 2 sch on mon. My sis need 2 take smth.
3154,ham,Ok...
5455,ham,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.
2731,ham,Mm feeling sleepy. today itself i shall get that dear
288,ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
2725,ham,No. But we'll do medical missions to nigeria
4967,ham,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.
1972,ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march Û_ ish!
5204,ham,How come she can get it? Should b quite diff to guess rite...
5036,ham,(You didn't hear it from me)
1768,ham,How. Its a little difficult but its a simple way to enter this place
2440,ham,"Great. I'm in church now, will holla when i get out"
5076,ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
3242,ham,Pls accept me for one day. Or am begging you change the number.
1175,ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
534,ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
2612,ham,Yes. It's all innocent fun. O:-)
4101,ham,Ok then i will come to ur home after half an hour
3100,ham,Pathaya enketa maraikara pa'
1569,ham,I dont have that much image in class.
4255,ham,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!
2995,ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
2457,ham,K.k..how is your sister kids?
1693,ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
2895,spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
3858,spam,"Win the newest åÒHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
2792,ham,Not from this campus. Are you in the library?
2134,ham,If he started searching he will get job in few days.he have great potential and talent.
346,ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
1285,ham,"Just wondering, the others just took off"
3879,ham,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x
4281,ham,U can call now...
2148,ham,I will once i get home
4133,ham,Is it your yahoo boys that bring in the perf? Or legal.
4193,ham,Can not use foreign stamps in this country.
1041,ham,I'm in class. Will holla later
1844,ham,Da is good good player.why he is unsold.
2999,ham,Id onluy matters when getting on from offcampus
905,ham,Hey what's up charles sorry about the late reply.
1491,spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
1739,ham,U guys never invite me anywhere :(
4343,ham,Hi:)did you asked to waheeda fathima about leave?
3001,ham,"Excellent, I'll see what riley's plans are"
1322,ham,Oh just getting even with u.... u?
1948,ham,I cant pick the phone right now. Pls send a message
470,spam,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
3003,spam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
3194,ham,Great. P diddy is my neighbor and comes for toothpaste every morning
5496,ham,Yes... I trust u to buy new stuff ASAP so I can try it out
4769,ham,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx
2770,ham,No problem. Talk to you later
1773,ham,"I'm not coming over, do whatever you want"
183,ham,"He will, you guys close?"
2660,ham,Want to finally have lunch today?
2651,ham,"Text me when you get off, don't call, my phones having problems"
3741,ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?
4595,ham,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit"
2123,spam,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
971,ham,"Haha awesome, omw back now then"
2240,ham,K I'll call you when I'm close
1186,ham,"Goodmorning, Today i am late for  &lt;#&gt; min."
892,ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you
422,ham,Siva is in hostel aha:-.
742,ham,Just got up. have to be out of the room very soon. Û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
615,ham,"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st..."""
2396,ham,Well you told others you'd marry them...
3486,ham,Change windows logoff sound..
5448,ham,"aight we can pick some up, you open before tonight?"
1121,spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
638,ham,"What will we do in the shower, baby?"
3214,ham,I want snow. It's just freezing and windy.
327,ham,"I'd say that's a good sign but, well, you know my track record at reading women"
5271,ham,So u wan 2 come for our dinner tonight a not?
4709,ham,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)
4982,ham,Networking job is there.
5250,spam,Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+
3715,ham,Networking technical support associate.
1137,ham,LOL ... No just was busy
1498,ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
3992,ham,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word"
1481,ham,"I'm a guy, browsin is compulsory"
1850,ham,Then cant get da laptop? My matric card wif Ì_ lei... 
2802,spam,FreeMsg>FAV XMAS TONES!Reply REAL
4180,ham,"Ok da, i already planned. I wil pick you."
1037,ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
2938,ham,Are you ok. What happen to behave like this
5519,ham,Can you pls send me that company name. In saibaba colany
3940,spam,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!"""
4095,ham,"Hey , is * rite u put åÈ10 evey mnth is that all?"
1698,spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
55,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
2305,ham,Still in the area of the restaurant. Ill try to come back soon
5259,ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
3007,spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
2415,ham,Huh means computational science... Y they like dat one push here n there...
3388,ham,O. Guess they both got screwd
4668,ham,"When I was born, GOD said, \Oh No! Another IDIOT\"". When you were born"
3955,ham,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) 
1345,ham,Que pases un buen tiempo or something like that
3906,ham,No that just means you have a fat head
530,spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
3312,ham,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it..."
3343,ham,Oh great. I.ll disturb him more so that we can talk.
4895,ham,2 and half years i missed your friendship:-)
3685,ham,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
1621,ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
3609,ham,"Call me. I m unable to cal. Lets meet bhaskar, and deep"
2510,ham,Yunny i'm walking in citylink now Ì_ faster come down... Me very hungry...
4088,ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea"
352,ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
2389,ham,Boo. How's things? I'm back at home and a little bored already :-(
4114,ham,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.
4411,ham,If i said anything wrong sorry de:-)
2456,ham,Onum ela pa. Normal than.
1649,ham,ITS A LAPTOP TAKE IT WITH YOU.
2286,ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
5005,ham,ILL B DOWN SOON
2698,spam,FROM 88066 LOST å£12 HELP
1266,ham,\Hey sorry I didntgive ya a a bellearlier hunny
2369,ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"""
2212,ham,"This is one of the days you have a billion classes, right?"
492,ham,"Sorry,in meeting I'll call later"
3392,ham,Ok thanx...
3602,ham,"I'm not sure, I was just checking out what was happening around the area"
2572,ham,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel"
696,ham,"Aight, you close by or still down around alex's place?"
662,ham,Sorry me going home first... Daddy come fetch Ì_ later...
2797,ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
5166,ham,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.
5202,ham,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
4932,ham,Once free call me sir.
1,ham,Ok lar... Joking wif u oni...
3332,spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
4077,ham,Gam gone after outstanding innings.
3528,spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
5172,ham,"Aight, text me tonight and we'll see what's up"
3431,spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
4674,spam,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text"
