,v1,v2
1205,ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
2719,ham,Go where n buy? Juz buy when we get there lar.
2034,ham,Is avatar supposed to have subtoitles
1392,ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
90,ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!
894,ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
5029,ham,Is there coming friday is leave for pongal?do you get any news from your work place.
4999,ham,Well its not like you actually called someone a punto. That woulda been worse.
5394,ham,I dont know exactly could you ask chechi.
4548,ham,"Haha, my friend tyler literally just asked if you could get him a dubsack"
2473,ham,Ok lor wat time Ì_ finish?
1942,ham,K...k:)why cant you come here and search job:)
1316,ham,Why nothing. Ok anyway give me treat
4833,ham,I hope your pee burns tonite.
1277,ham,Dont put your phone on silent mode ok
1614,ham,Me sef dey laugh you. Meanwhile how's my darling anjie!
1930,ham,Carry on not disturbing both of you
495,ham,Got meh... When?
233,ham,Yes:)here tv is always available in work place..
2517,ham,"Sorry, I'll call later"
1077,ham,"Yep, by the pretty sculpture"
4612,ham,How much you got for cleaning
2516,ham,Yes.i'm in office da:)
2270,ham,U know we watchin at lido?
3181,ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
4527,ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx
1609,ham,You all ready for * big day tomorrow?
1981,ham,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; "
2961,ham,"\NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT\"""""
2009,ham,"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do."
1565,ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
340,ham,Ok that's great thanx a lot.
4005,ham,IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx
3170,ham,Still otside le..u come 2morrow maga..
746,ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!"
2737,ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu
403,ham,None of that's happening til you get here though
250,ham,Ranjith cal drpd Deeraj and deepak 5min hold
1399,ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
2335,ham,Which is weird because I know I had it at one point
2503,ham,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up
1668,ham,"Yes..but they said its IT.,"
0,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
4404,ham,Dun need to use dial up juz open da browser n surf...
4044,ham,If You mean the website. Yes.
3128,ham,"Haha better late than ever, any way I could swing by?"
1340,ham,Might ax well im there.
1532,ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
243,ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
1363,ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
5371,ham,"Lol, oh you got a friend for the dog ?"
3520,ham,Hey... are you going to quit soon? Xuhui and i working till end of the month 
5169,ham,Now i'm going for lunch.
2261,ham,Did you show him and wot did he say or could u not c him 4 dust?
2836,ham,1's reach home call me.
161,ham,New car and house for my parents.:)i have only new job in hand:)
5465,ham,Shall I bring us a bottle of wine to keep us amused? Only joking! IÛ÷ll bring one anyway
4898,ham,"Haha, that was the first person I was gonna ask"
588,ham,Ya srsly better than yi tho
4915,ham,"Just dropped em off, omw back now"
3856,ham,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?"
416,ham,Alright i have a new goal now
2137,ham,Then why you came to hostel.
2023,ham,Is there any movie theatre i can go to and watch unlimited movies and just pay once?
2812,ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
4389,ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
4683,ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
1994,ham,Have you been practising your curtsey?
2856,ham,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? 
1611,ham,645
3650,ham,Want to send me a virtual hug?... I need one
1259,ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
560,ham,Hi msg me:)i'm in office..
4475,ham,I'll pick you up at about 5.15pm to go to taunton if you still want to come.
5287,ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...
1720,ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
3232,ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
2489,ham,I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?
3525,ham,\HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY
3985,ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
5061,ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
2379,ham,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything."
3733,ham,"4 tacos + 1 rajas burrito, right?"
2478,ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?
195,ham,Gud mrng dear hav a nice day
3590,ham,How much would it cost to hire a hitman
1042,ham,Easy ah?sen got selected means its good..
773,ham,I wil be there with in  &lt;#&gt;  minutes. Got any space
5508,ham,"Machan you go to gym tomorrow,  i wil come late goodnight."
918,ham,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? 
4161,ham,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.
2008,ham,See the forwarding message for proof
3668,ham,Yeah imma come over cause jay wants to do some drugs
5046,ham,Hmmm.still we dont have opener?
4427,ham,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
4036,ham,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... 
4020,ham,We have to pick rayan macleran there.
456,ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONåÕT LIKE ME LIKE THAT SO DONåÕT WORRY."
4633,ham,These won't do. Have to move on to morphine
3377,ham,Hows that watch resizing
1533,ham,Horrible bf... I now v hungry...
4041,ham,What time do u get out?
4657,ham,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age
1445,ham,I am in a marriage function
1416,ham,No..few hours before.went to hair cut .
3809,ham,"Aight, can you text me the address?"
5533,ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
4078,ham,O i played smash bros  &lt;#&gt;  religiously.
2935,ham,"And stop wondering \wow is she ever going to stop tm'ing me ?!\"" because I will tm you whenever I want because you are MINE ... *laughs*"""
4000,ham,He's just gonna worry for nothing. And he won't give you money its no use.
289,ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
5401,ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
2441,ham,Back in brum! Thanks for putting us up and keeping us all and happy. See you soon 
4455,ham,"If you want to mapquest it or something look up \usf dogwood drive\"""
3598,ham,Then wat r u doing now? Busy wif work?
4605,ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... "
1510,ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
1335,ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
544,ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
4418,ham,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already Û_
2011,ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1."
4029,ham,"Cool, I'll text you in a few"
1866,ham,Or Ì_ go buy wif him then i meet Ì_ later can?
3604,ham,Jordan got voted out last nite!
3028,ham,What is your record for one night? :)
3387,ham,Same as kallis dismissial in 2nd test:-).
548,ham,Wait  &lt;#&gt;  min..
2046,ham,"Aight fuck it, I'll get it later"
2275,ham,Is that on the telly? No its Brdget Jones!
643,ham,Ya very nice. . .be ready on thursday
1799,ham,"If we hit it off, you can move in with me :)"
66,ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
4341,ham,Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!
1378,ham,"Ya tel, wats ur problem.."
653,ham,Fine i miss you very much.
3646,ham,"Hey babe, my friend had to cancel, still up for a visit ?"
1936,ham,My planning usually stops at \find hella weed
5213,ham,3 pa but not selected.
1020,ham,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen"
2653,ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
520,ham,But that's on ebay it might be less elsewhere.
5434,ham,Jesus armand really is trying to tell everybody he can find
2028,ham,Kallis is ready for bat in 2nd innings
1167,ham,Lol now I'm after that hot air balloon!
2170,ham,\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R
710,ham,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
4073,ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
241,ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
1381,ham,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. \paths are made by walking.. not by waiting..\"" Goodnight!"""
457,ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
5106,ham,Ding me on ya break fassyole! Blacko from londn
3837,ham,Went to pay rent. So i had to go to the bank to authorise the payment.
1976,ham,Lol alright i was thinkin that too haha
2435,ham,Oh ya ya. I remember da. .
5404,ham,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.
214,ham,Sounds great! Are you home now?
1549,ham,Dude sux for snake. He got old and raiden got buff
5043,ham,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor..."
3322,ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
1709,ham,U meet other fren dun wan meet me ah... Muz b a guy rite...
2091,ham,Then get some cash together and I'll text jason
4129,ham,And by when you're done I mean now
3368,ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
4882,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
260,ham,Yup
1575,ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..."
1054,ham,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
2601,ham,Okie
4403,ham,"Sorry, I'll call later  &lt;#&gt; mins"
1518,ham,Shall i ask one thing if you dont mistake me.
4900,ham,Taka lor. Wat time u wan 2 come n look 4 us?
3842,ham,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
2019,ham,From tomorrow onwards eve 6 to 3 work.
1877,ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! 
3204,ham,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home"
145,ham,Whats the staff name who is taking class for us?
4678,ham,Sry da..jst nw only i came to home..
5464,ham,I will treasure every moment we spend together...
3103,ham,That's y i said it's bad dat all e gals know u... Wat u doing now?
3311,ham,I know you are serving. I mean what are you doing now.
4070,ham,I've reached home n i bathe liao... U can call me now...
667,ham,This pay is  &lt;DECIMAL&gt;  lakhs:)
4790,ham,Send me your resume:-)
3655,ham,Oh really?? Did you make it on air? What's your talent?
3601,ham,Cps is causing the outages to conserve energy.
2617,ham,I cant pick the phone right now. Pls send a message
1676,ham,"Yeah, that's fine! It's å£6 to get in, is that ok? "
3238,ham,Am okay. Will soon be over. All the best
2458,ham,"Cool, I'll text you when I'm on the way"
1571,ham,Near kalainar tv office.thenampet
5063,ham,I dunno lei... Like dun haf...
5421,ham,"Hi elaine, is today's meeting confirmed?"
3734,ham,"ItÛ÷s å£6 to get in, is that ok?"
564,ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
4801,ham,Reverse is cheating. That is not mathematics.
4428,ham,Hey they r not watching movie tonight so i'll prob b home early...
1926,ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
1583,ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
2959,ham,Sir send to group mail check it.
3416,ham,But i haf enuff space got like 4 mb...
5156,ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
4746,ham,"When you just put in the + sign, choose my number and the pin will show. Right?"
4760,ham,It's Ì© only $140 ard...Ìä rest all ard $180 at least...Which is Ì© price 4 Ì© 2 bedrm ($900)
4810,ham,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...
3081,ham,"And very importantly, all we discuss is between u and i only."
1475,ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
2602,ham,So when you gonna get rimac access 
2777,ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
2670,ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
3430,ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe
697,ham,meet you in corporation st outside gap Û_ you can see how my mind is working!
4065,ham,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit
2504,ham,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*"
3261,ham,O shore are you takin the bus
1905,ham,"There're some people by mu, I'm at the table by lambda"
5360,ham,"Hey, iouri gave me your number, I'm wylie, ryan's friend"
435,ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
815,ham,Where's my boytoy? I miss you ... What happened?
3276,ham,Its a great day. Do have yourself a beautiful one.
2958,ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
4227,ham,Have you started in skye
4712,ham,Big brotherÛ÷s really scraped the barrel with this shower of social misfits
4636,ham,Oh ho. Is this the first time u use these type of words
3079,ham,S.s:)i thinl role is like sachin.just standing. Others have to hit.
4313,ham,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.
3684,ham,Wake me up at  &lt;#&gt;  am morning:)
2302,ham,We can make a baby in yo tho
3331,ham,Ok... The theory test? when are Ì_ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free
2820,ham,Oh god..taken the teeth?is it paining
948,ham,Chk in ur belovd ms dict
1619,ham,Friends that u can stay on fb chat with
37,ham,I see the letter B on my car
1299,ham,Great to hear you are settling well. So what's happenin wit ola?
4259,ham,Are you plans with your family set in stone ?
1551,ham,In e msg jus now. U said thanks for gift.
2767,ham,Wow v v impressed. Have funs shopping!
1082,ham,Send to someone else :-)
1727,ham,I went to project centre
1791,ham,U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u
1927,ham,Omg it could snow here tonite!
3772,ham,I came hostel. I m going to sleep. Plz call me up before class. Hrishi.
3464,ham,"Haha figures, well I found the piece and priscilla's bowl"
3946,ham,"Sorry, went to bed early, nightnight"
3529,ham,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?"
337,ham,Just sleeping..and surfing
2823,ham,No need to buy lunch for me.. I eat maggi mee..
